"file","swedish","english","chinese" 
"English\Pixie_CasinoNightIsOver.eng.mtf","Mhm...","Mhm...","唔..."
"English\Pixie_CasinoNightIsOver.eng.mtf","Det var dåliga nyheter","That's bad news","这是个坏消息"
"English\Pixie_CasinoNightIsOver.eng.mtf","Jag ska undersöka utposterna på nätet med en gång","I must investigate the outposts on the internet at once","我会立即在线调查前哨站"
"English\Pixie_CasinoNightIsOver.eng.mtf","Bra","Good","好的"
"English\Pixie_CasinoNightIsOver.eng.mtf","Sebastian, du kan fly ut genom dörren i Arakis rum också","Sebastian, you can escape through the door in Araki's room too","塞巴斯蒂安，你也可以从荒木经惟房间的门逃出去"
"English\Pixie_CasinoNightIsOver.eng.mtf","Den som leder ut genom trädet?","The one through the tree?","穿过树的那个？"
"English\Pixie_CasinoNightIsOver.eng.mtf","Ja precis","Yeah, exactly","对，就是这样"
"English\Pixie_CasinoNightIsOver.eng.mtf","OK, hej då","OK, bye","好的，再见"
"English\Pixie_CasinoNightIsOver.eng.mtf","Men jag vill hjälpa till här!","But I want to help out","但我想在这里帮忙！"
"English\Pixie_CasinoNightIsOver.eng.mtf","Nej, jag vill göra något vettigt!","No, I want to do something worthwhile!","不，我想做点理智的事！"
"English\Pixie_CasinoNightIsOver.eng.mtf","Ja..?","Yes...?","是的..？"
"English\Pixie_CasinoNightIsOver.eng.mtf","Du vet om att de är livsfarliga de här typerna?","You know these fellows are actually lethal?","您知道这些类型会危及生命吗？"
"English\Pixie_CasinoNightIsOver.eng.mtf","Jag går och pratar med honom","I'll go talk to him","我去和他谈谈"
"English\Pixie_CasinoNightIsOver.eng.mtf","Jo...","Yeah...","是的..."
"English\Pixie_CasinoNightIsOver.eng.mtf","Men jag måste göra något i alla fall","But I have to do something anyway","但无论如何我必须做点什么"
"English\Pixie_CasinoNightIsOver.eng.mtf","Mm ok, jag kanske sticker härifrån då","Mhm, OK, maybe I'll get out of here","嗯，好吧，也许我会离开这里"
"English\Pixie_CasinoNightIsOver.eng.mtf","Ta det försiktigt","Be careful","当心"
"English\Pixie_CasinoNightIsOver.eng.mtf","Det står en byråkrat ute hos Felix","There's a bureaucrat with Felix","菲利克斯的住处外面有一个官僚"
"English\Pixie_CasinoNightIsOver.eng.mtf","Fy fan","Hot damn","该死的"
"English\Pixie_CasinoNightIsOver.eng.mtf","Vad ska vi göra åt den?","What can we do about him?","对此我们该怎么办？"
"English\Pixie_CasinoNightIsOver.eng.mtf","Jag har god lust att skjuta honom","I do feel like shooting him","我感觉想开枪打他"
"English\Pixie_CasinoNightIsOver.eng.mtf","Du vet lika väl som jag att det är en utomordentligt dålig idé","You know as well as I do that that's a terrible idea","你和我一样知道这是一个非常糟糕的主意"
"English\Pixie_CasinoNightIsOver.eng.mtf","Jag är bara så jävla trött på dem","I'm just so fucking tired of them","我只是厌倦了他们"
"English\Pixie_CasinoNightIsOver.eng.mtf","De kan inte få hålla på","They can't keep on playing around like this","不能允许他们继续"
"English\Pixie_CasinoNightIsOver.eng.mtf","Men vi måste upprätthålla vår fasad","But we have to prevent our cover from being blown","但我们必须维护我们的门面"
"English\Pixie_CasinoNightIsOver.eng.mtf","Om vi skapar oreda här kommer stället krylla av kontorsråttor inom några minuter","If we make a mess here this place will be filled with suits in minutes","如果我们把这里弄得一团糟，几分钟之内这里就会爬满办公室老鼠"
"English\Pixie_CasinoNightIsOver.eng.mtf","Ja...","Yes...","是的..."
"English\Pixie_CasinoNightIsOver.eng.mtf","Vi kan ju vänta ett litet tag och se om han ger sig av sig själv?","Could we maybe wait a bit and see if he leaves on his own?","我们可以等一下，看看他会不会自首？"
"English\Pixie_CasinoNightIsOver.eng.mtf","Det är inte bra det här...","This is not good...","不是很好..."
"English\Pixie_CasinoNightIsOver.eng.mtf","Mm?","Mhm?","嗯？"
"English\Pixie_CasinoNightIsOver.eng.mtf","Har du sett Pixie?","Have you seen Pixie?","你见过皮克西吗？"
"English\Pixie_CasinoNightIsOver.eng.mtf","Hon skulle väl på en dejt med Ivan?","Wasn't she going on a date with Ivan?","她要去和伊万约会，对吗？"
"English\Pixie_CasinoNightIsOver.eng.mtf","Ja men det var ju jättelänge sen?","Yeah, but that was a long time ago, right?","是的，但那是很久以前的事了，不是吗？"
"English\Pixie_CasinoNightIsOver.eng.mtf","OK?","OK?","好的？"
"English\Pixie_CasinoNightIsOver.eng.mtf","Hon kanske är på Yvonne?","Maybe she's at Yvonne?","也许她在伊冯？"
"English\Pixie_CasinoNightIsOver.eng.mtf","Kanske...","Perhaps...","也许..."
"English\Pixie_CasinoNightIsOver.eng.mtf","Nu?!","Now?!","现在？！"
"English\Pixie_CasinoNightIsOver.eng.mtf","Jag vet inte dude","I don't know man","我不知道哥们"
"English\Pixie_CasinoNightIsOver.eng.mtf","Ja just det","Right","对，就是这样"
"English\Pixie_CasinoNightIsOver.eng.mtf","Chilla dude","Chill, dude","冷静点伙计"
"English\Pixie_CasinoNightIsOver.eng.mtf","OK","OK","好的"
"English\Pixie_CasinoNightIsOver.eng.mtf","Läskigt med snubbar från Ministeriet här nere!","Freaky with that dude from the ministry down here","魔法部里的家伙都在这里，太可怕了！"
"English\Pixie_CasinoNightIsOver.eng.mtf","Ja fy fan","Yeah, god damn","是的，该死的"
"English\Pixie_CasinoNightIsOver.eng.mtf","Jag får kalla kårar","It's giving me the chills","我感到畏缩"
"English\Pixie_CasinoNightIsOver.eng.mtf","Det var ingen fara med byråkraten tror jag","The bureaucrat is no danger, I believe","我认为官僚没有危险"
"English\Pixie_CasinoNightIsOver.eng.mtf","Haha!","Hah!","哈哈！"
"English\Pixie_CasinoNightIsOver.eng.mtf","Vad då?","What then?","然后怎样呢？"
"English\Pixie_CasinoNightIsOver.eng.mtf","Han ville bara byta sina skor","He just wanted to return his shoes","他只是想换双鞋"
"English\Pixie_CasinoNightIsOver.eng.mtf","Han har gått nu","He's left now","他现在已经走了"
"English\Pixie_CasinoNightIsOver.eng.mtf","Jaha... OK","Oh... OK","哦好的"
"English\Pixie_CasinoNightIsOver.eng.mtf","Det är ändå oroväckande att de är här nere","Still, it's worrying that they're in the area","仍然令人担心他们在这里"
"English\Pixie_CasinoNightIsOver.eng.mtf","Vi har redan bytt tillhåll två gånger","We have already changed hideout twice","我们已经换过两次出没的地方了"
"English\Pixie_CasinoNightIsOver.eng.mtf","Oj då","Oh","哎呀"
"English\Pixie_CasinoNightIsOver.eng.mtf","Ja, vad jobbigt","OK, that's annoying","是啊，多么困难"
"English\Pixie_ClubDotGig1.eng.mtf","Sebastian!","Sebastian!","塞巴斯蒂安！"
"English\Pixie_ClubDotGig1.eng.mtf","Hej!","Hi!","你好！"
"English\Pixie_ClubDotGig1.eng.mtf","Ska vi gå?","Wanna get going?","我们走吧？"
"English\Pixie_ClubDotGig1.eng.mtf","Ja!","Yes!","是的！"
"English\Pixie_ClubDotGig1.eng.mtf","En sekund bara","One sec","等一下"
"English\Pixie_ClubDotGig1.eng.mtf","OK","OK","好的"
"English\Pixie_ClubDotGig1.eng.mtf","Sebastian!","Sebastian!","塞巴斯蒂安！"
"English\Pixie_ClubDotGig1.eng.mtf","Hej!","Hi!","你好！"
"English\Pixie_ClubDotGig1.eng.mtf","Hej!","Hi!","你好！"
"English\Pixie_ClubDotGig1.eng.mtf","Tjenamors","Hiya","特纳莫尔的"
"English\Pixie_ClubDotGig1.eng.mtf","Tja","'Sup","出色地"
"English\Pixie_ClubDotGig1.eng.mtf","Är du på väg till Club Dot eller?","Heading to Club Dot?","您正在前往 Club Dot 的路上吗？"
"English\Pixie_ClubDotGig1.eng.mtf","Ja precis","Yup","对，就是这样"
"English\Pixie_ClubDotGig1.eng.mtf","Cool, du kan följa med mig nu om du vill","Cool, you can come with me now if you want to","太好了，如果你愿意的话，现在就可以跟我一起去"
"English\Pixie_ClubDotGig1.eng.mtf","Schysst!","Nice!","好的！"
"English\Pixie_ClubDotGig1.eng.mtf","Jag måste fixa en sak först bara","Just gotta take care of something first","我只需要先解决一件事"
"English\Pixie_ClubDotGig1.eng.mtf","OK... ses sen då!","OK... see you later then!","好的...到时候见！"
"English\Pixie_ClubDotGig1.eng.mtf","Nej, har lite annat att fixa med idag","No, I've got some other stuff to deal with today","不了，今天还有事要处理"
"English\Pixie_ClubDotGig1.eng.mtf","Fan va tråkigt","OK, killjoy","妈的真无聊"
"English\Pixie_ClubDotGig1.eng.mtf","Jag drar dit nu, ses!","I'm heading there now, see ya!","我现在就去那儿，再见！"
"English\Pixie_ClubDotGig1.eng.mtf","Jag kommer lite senare...","I'll drop by later...","我稍后会来..."
"English\Pixie_ClubDotGig1.eng.mtf","OK, ses!","OK, see ya!","好的再见！"
"English\Pixie_ClubDotGig1.eng.mtf","Du kom!","You're here!","你来了！"
"English\Pixie_ClubDotGig1.eng.mtf","Ta en öl! Eller två!","Have a beer! Or two!","喝杯啤酒吧！或者两个！"
"English\Pixie_ClubDotGig1.eng.mtf","Spelningen har börjat!","The gig has started!","比赛开始了！"
"English\Pixie_ClubDotGig1.eng.mtf","Spelningen börjar snart","The gig starts soon","演出即将开始"
"English\Pixie_ClubDotGig1.eng.mtf","Var finns ölen?","Where's the beer?","啤酒在哪里？"
"English\Pixie_ClubDotGig1.eng.mtf","Den står på några bord där vid ingången","Over by the entrance, there're a few tables","它在入口处的一些桌子上"
"English\Pixie_ClubDotGig1.eng.mtf","Det är bara att ta verkar det som","It looks like you can just take whatever you want","这似乎只是接受的问题"
"English\Pixie_ClubDotGig1.eng.mtf","OK, nice","OK, nice","好的，不错"
"English\Pixie_ClubDotGig1.eng.mtf","Ja visst är det!!!","Yeah, isn't it?!!","是的，当然是！！！"
"English\Pixie_ClubDotGig1.eng.mtf","Festerna här i gruvan är bäst!","The parties down here in the mine are the best!","矿井里的派对是最棒的！"
"English\Pixie_ClubDotGig1.eng.mtf","Framme!","Here!","在前！"
"English\Pixie_ClubDotGig1.eng.mtf","Haka på","Come on, follow me","不挂断"
"English\Pixie_ClubDotGig1.eng.mtf","Å, jag tror verkligen att du kommer att gilla Club Dot","I really think you'll like Club Dot","哦，我真的认为你会喜欢 Club Dot"
"English\Pixie_ClubDotGig1.eng.mtf","Det är liksom som en gammal övergiven gruva","It's like, this old abandoned mine","这有点像一个废弃的旧矿井"
"English\Pixie_ClubDotGig1.eng.mtf","Och så har de gjort om det till en scen, fattar du va coolt!","That they've turned into a stage and all, how cool is that?","然后他们把它变成了一个舞台，你知道有多酷！"
"English\Pixie_ClubDotGig1.eng.mtf","Förra året så var det en band från Japan som spelade där","Last year there was a band from Japan playing there","去年，一支来自日本的乐队在那里演出"
"English\Pixie_ClubDotGig1.eng.mtf","Sångaren var så jävla snygg","The singer was so freaking hot","这位歌手实在是太帅了"
"English\Pixie_ClubDotGig1.eng.mtf","Och så var de tre som spelade gitarr","And they had three guitar players","然后是弹吉他的三个人"
"English\Pixie_ClubDotGig1.eng.mtf","Helt sjukt!","Totally sick!","生病的！"
"English\Pixie_ClubDotGig1.eng.mtf","Är du med?","You're with me?","你在吗？"
"English\Pixie_ClubDotGig1.eng.mtf","Å, jag gillar verkligen Dorisburg så här års!","Oh, I really like Dorisburg around this time of year!","哦，今年我真的很喜欢多里斯堡！"
"English\Pixie_ClubDotGig1.eng.mtf","Öl, fest i gruvan, allting...","Beer, parties at the mine, everything...","啤酒、矿井派对，一切......"
"English\Pixie_ClubDotGig1.eng.mtf","Fast allt är ju inte bra såklart","But of course it's not all good","当然，并非一切都是好的"
"English\Pixie_ClubDotGig1.eng.mtf","De som bestämmer här i stan är helt jävla dumma i huvudet","The people running the town are fucking dimwits","那些在城里做决定的人脑子里完全是愚蠢的"
"English\Pixie_ClubDotGig1.eng.mtf","Men jag ska försöka att inte klaga för mycket ikväll","But I'll try not to rant too much tonight","但今晚我会尽量不要抱怨太多"
"English\Pixie_ClubDotGig1.eng.mtf","Ikväll är det party!","Tonight's a party!","今晚是一个聚会！"
"English\Pixie_ClubDotGig1.eng.mtf","När kommer han där Ivan..?","When will that Ivan bloke be here..?","他什么时候能到达那里伊万..？"
"English\Pixie_ClubDotGig1.eng.mtf","Å, jag vet inte","Oh, I don't know","哦，我不知道"
"English\Pixie_ClubDotGig1.eng.mtf","Varken han eller jag är särskilt bra på att passa tider","Neither of us are very punctual","他和我都不擅长赴约"
"English\Pixie_ClubDotGig1.eng.mtf","Det är nog därför vi passar så bra ihop","That's probably why we're such a good match","这可能就是我们如此契合的原因"
"English\Pixie_ClubDotGig1.eng.mtf","Jaha, vad bra...","Oh, good...","是啊，多好啊……"
"English\Pixie_ClubDotGig1.eng.mtf","Han verkar lite slarvig?","He seems a little careless?","他好像有点不小心？"
"English\Pixie_ClubDotGig1.eng.mtf","Nej då, han är mycket mindre slarvig än jag","Way less so than I am","不，他比我没那么粗心"
"English\Pixie_ClubDotGig1.eng.mtf","Får man dricka av det som står framme?","Are the drinks up for grabs or..?","你能喝你面前的东西吗？"
"English\Pixie_ClubDotGig1.eng.mtf","Ja, självklart","Yes, of course","是的当然"
"English\Pixie_ClubDotGig1.eng.mtf","Det är bara att ta","Dig in","这只是为了采取"
"English\Pixie_ClubDotGig1.eng.mtf","Men visst är det fint här?","Sure is nice here, don't you think?","但这里肯定很好吗？"
"English\Pixie_ClubDotGig1.eng.mtf","Ja då","Yeah","是的，那么"
"English\Pixie_ClubDotGig1.eng.mtf","Det är lite stökigt","But a little messy","有点乱"
"English\Pixie_ClubDotGig1.eng.mtf","Haha, ja men det är ju det som är cooolt","Hah, yeah but that's the cooooool thing about it","哈哈，是的，但这就是酷"
"English\Pixie_ClubDotGig1.eng.mtf","Verkligen!","Really!","真的吗！"
"English\Pixie_ClubDotGig1.eng.mtf","Vi har haft såna sjuka fester här","We've had absolutely mental parties here","我们这里举办过如此恶心的派对"
"English\Pixie_ClubDotGig1.eng.mtf","Han är bra!","He's good!","他很好！"
"English\Pixie_ClubDotGig1.eng.mtf","Frank ja, han är grym","Yeah, Frank is the bomb","弗兰克，是的，他很残忍"
"English\Pixie_ClubDotGig1.eng.mtf","Jag tror han spelade i ett syntband förut","I think he used to play in a synth band","我想他以前在磁带里演奏过"
"English\Pixie_ClubDotGig1.eng.mtf","Men nu gör han bara musik på egen hand","But now he makes all of his music on his own","但现在他只自己创作音乐"
"English\Pixie_ClubDotGig1.eng.mtf","Och remixar andras låtar och sånt","And remixes other people's songs and stuff like that","并重新混音其他人的歌曲和东西"
"English\Pixie_ClubDotGig1.eng.mtf","Fräckt","Dope","厚脸皮"
"English\Pixie_ClubDotGig1.eng.mtf","Wow","Wow","哇"
"English\Pixie_ClubDotGig1.eng.mtf","OK","OK","好的"
"English\Pixie_ClubDotGig1.eng.mtf","Vad händer sen då?","So what happens next?","然后会发生什么？"
"English\Pixie_ClubDotGig1.eng.mtf","Jag vet inte...","I dunno...","我不知道..."
"English\Pixie_ClubDotGig1.eng.mtf","Kanske efterfest?","After-party perhaps?","也许是一场余兴派对？"
"English\Pixie_ClubDotGig1.eng.mtf","Fast jag har inte hört något","Didn't hear about anything though","虽然我什么也没听到"
"English\Pixie_ClubDotGig1.eng.mtf","De flesta ska väl jobba imorgon","Most people have work tomorrow I guess","大多数人明天还要上班"
"English\Pixie_ClubDotGig1.eng.mtf","Ja... jag måste verkligen komma igång med mitt jobb","Yes... I really need to get somewhere with my job","是的...我真的需要继续我的工作"
"English\Pixie_ClubDotGig1.eng.mtf","Mm?","Mm?","嗯？"
"English\Pixie_ClubDotGig1.eng.mtf","Var är det du jobbar?","Where do you work?","你在哪里工作？"
"English\Pixie_ClubDotGig1.eng.mtf","Oj, hörde du den grejen han gjorde där i låten?","Wow, did you hear that thing he did, in the song?","哦，你听到他在歌曲中所做的事情了吗？"
"English\Pixie_ClubDotGig1.eng.mtf","Njae..?","Nooo...?","出色地..？"
"English\Pixie_ClubDotGig1.eng.mtf","Ja, coolt!","Yeah, cool!","是的，酷！"
"English\Pixie_ClubDotGig1.eng.mtf","Kanske?!","Maybe?!","也许？！"
"English\Pixie_ClubDotGig1.eng.mtf","Jag måste gå och snacka med en kompis, du kan väl mingla lite själv?","I have to go say hi to a friend, why don't you mingle on your own for a bit?","我要去跟朋友聊聊，你自己能聊聊吗？"
"English\Pixie_ClubDotGig1.eng.mtf","OK","OK","好的"
"English\Pixie_ClubDotGig1.eng.mtf","Japp!","Yup!","是的！"
"English\Pixie_ClubDotGig1.eng.mtf","Visst...","Sure...","当然..."
"English\Pixie_ClubDotGig1.eng.mtf","När ska han börja spela?","When does his set start?","他什么时候开始打球？"
"English\Pixie_ClubDotGig1.eng.mtf","DJ:en?","The DJ's?","DJ？"
"English\Pixie_ClubDotGig1.eng.mtf","Mm","Mhm","ETC"
"English\Pixie_ClubDotGig1.eng.mtf","Jag vet inte riktigt, borde vara rätt snart tror jag","I don't know, should be soon","我真的不知道，我想应该很快"
"English\Pixie_ClubDotGig1.eng.mtf","Har han kommit än?","Is he here yet?","他到了吗？"
"English\Pixie_ClubDotGig1.eng.mtf","Vem?","Who?","WHO？"
"English\Pixie_ClubDotGig1.eng.mtf","Ivan","Ivan","伊万"
"English\Pixie_ClubDotGig1.eng.mtf","Jag vet inte, jag hade hoppats att han skulle vänta på oss här","I don't know, I was hoping he would meet us here","我不知道，我本来希望他会在这里等我们"
"English\Pixie_ClubDotGig1.eng.mtf","DJ:en","The DJ","DJ"
"English\Pixie_ClubDotGig1.eng.mtf","Ah, Frank menar du","Ah, Frank you mean","啊，弗兰克，你的意思是"
"English\Pixie_ClubDotGig1.eng.mtf","Han borde vara här snart","He should be here soon","他应该很快就到了"
"English\Pixie_ClubDotGig1.eng.mtf","Använder de inte gruvan här till någonting?","Don't they use the mine for anything?","难道他们不利用这里的矿井做任何事吗？"
"English\Pixie_ClubDotGig1.eng.mtf","Nej, den här är stängd","No, it's closed","不，这个已关闭"
"English\Pixie_ClubDotGig1.eng.mtf","Men de har öppnat en annan där borta där vi gick förut","But they've opened another one over there, we passed it earlier","但他们在我们之前去过的地方又开了一家"
"English\Pixie_ClubDotGig1.eng.mtf","Varför är den stängd?","Why is it closed?","为什么关闭？"
"English\Pixie_ClubDotGig1.eng.mtf","De tömde den väl på resurser, jag vet inte riktigt","I guess it ran dry, I don't really know","好吧，他们耗尽了资源，我真的不知道"
"English\Pixie_ClubDotGig1.eng.mtf","Aha","Ah","啊哈"
"English\Pixie_ClubDotGig1.eng.mtf","Vad bryter de i gruvan?","What are they mining?","他们在矿井里开采什么？"
"English\Pixie_ClubDotGig1.eng.mtf","Material till datorkomponenter","Raw materials for computer components","计算机部件材料"
"English\Pixie_ClubDotGig1.eng.mtf","Olika mineraler och sånt","Different minerals and stuff","不同的矿物质和东西"
"English\Pixie_ClubDotGig1.eng.mtf","Sebastian!","Sebastian!","塞巴斯蒂安！"
"English\Pixie_ClubDotGig1.eng.mtf","Det är så kul att du har flyttat hit till vår stad","I'm so happy you've moved to our city","很高兴您搬到我们的城市"
"English\Pixie_ClubDotGig1.eng.mtf","Ja det känns bra","Feels good man","是的，感觉很好"
"English\Pixie_ClubDotGig1.eng.mtf","Grymt","Cool","残酷地"
"English\Pixie_ClubDotGig1.eng.mtf","Tycker du?","You think?","你认为？"
"English\Pixie_ClubDotGig1.eng.mtf","Ja, det är ju asgrymt!","Yeah, it's awesome!","是的，太可怕了！"
"English\Pixie_ClubDotGig1.eng.mtf","Vi ska ha superkul tillsammans","We'll have so much fun together","我们会一起玩得很开心"
"English\Pixie_ClubDotGig1.eng.mtf","Ja!","Yes!","是的！"
"English\Pixie_ClubDotGig1.eng.mtf","Jag undrar när Ivan kommer, så att du kan få träffa honom","I wonder when Ivan will get here, so you can say hi to him","我不知道伊万什么时候来，这样你就可以见到他"
"English\Pixie_ClubDotGig1.eng.mtf","Ja...","Yeah...","是的..."
"English\Pixie_ClubDotGig1.eng.mtf","Mm...","Mm...","嗯..."
"English\Pixie_ClubDotGig1.eng.mtf","Ja?","Yes?","是的？"
"English\Pixie_ClubDotGig1.eng.mtf","Vi kanske ska dansa medan vi väntar på honom?","Maybe we should dance while we wait?","也许我们应该一边跳舞一边等他？"
"English\Pixie_ClubDotGig1.eng.mtf","Njae... alltså jag gillar inte att dansa så mycket","Nah... I'm not really the dancing type","不...所以我不太喜欢跳舞"
"English\Pixie_ClubDotGig1.eng.mtf","Näää","Noooo","看"
"English\Pixie_ClubDotGig1.eng.mtf","Eh, jag vet inte om jag vill","Um, not sure if I want to","呃，不知道要不要"
"English\Pixie_ClubDotGig1.eng.mtf","Ja!","Yes!","是的！"
"English\Pixie_ClubDotGig1.eng.mtf","Jooo, kom igen!","Oh come ooon!","哇，来吧！"
"English\Pixie_ClubDotGig1.eng.mtf","Ja verkligen! Men nu är jag trött, måste nog gå hem","Yeah! But I'm feeling tired, think I have to go home","确实是的！但现在我累了，可能得回家了"
"English\Pixie_ClubDotGig1.eng.mtf","Ok...","OK...","好的..."
"English\Pixie_ClubDotGig1.eng.mtf","Jag stannar nog ett litet tag till","I think I'll stick around for a while","我可能会多呆一会儿"
"English\Pixie_ClubDotGig1.eng.mtf","Men vi ses en annan dag!","But I'll see you another day!","但改天见！"
"English\Pixie_ClubDotGig1.eng.mtf","Skulle inte du gå? Haha","I thought you were leaving? Hah","你不去吗？哈哈"
"English\Pixie_ClubDotGig1.eng.mtf","Ha det bra Sebastian","Take care, Sebastian","祝塞巴斯蒂安玩得开心"
"English\Pixie_ClubDotGig1.eng.mtf","Sebastian!!!","Sebastian!!!","塞巴斯蒂安！！！"
"English\Pixie_ClubDotGig1.eng.mtf","Jag ska gå och ta en öl","I'm gonna go grab a beer","我要去喝杯啤酒"
"English\Pixie_ClubDotGig1.eng.mtf","OK!","OK!","好的！"
"English\Pixie_ClubDotGig1.eng.mtf","Känner du många här?","Do you know a lot of the people here?","你认识这里很多人吗？"
"English\Pixie_ClubDotGig1.eng.mtf","Ja, rätt så","Yeah, you could say that","恩，那就对了"
"English\Pixie_ClubDotGig1.eng.mtf","Fast det är en del skumma personer också","But there are some shady types here too","虽然也有一些黑心的人"
"English\Pixie_ClubDotGig1.eng.mtf","Men det är det som är kul med festerna i gruvan, man vet aldrig vad som händer!","But that's the charm with the parties in the mines, you never really know what you're in for!","但这就是矿井聚会的乐趣所在，你永远不知道会发生什么！"
"English\Pixie_ClubDotGig1.eng.mtf","Öh... jag är jättetrött, måste nog gå hem och sova","Urgh... I'm knackered, think I have to go home and sleep","呃……我真的很累了，应该回家睡觉了"
"English\Pixie_ClubDotGig1.eng.mtf","OK, OK","OK, OK","好的好的"
"English\Pixie_ClubDotGig1.eng.mtf","Vi ses en annan dag hoppas jag!","See you some other day, I hope!","我希望有一天能见到你！"
"English\Pixie_ClubDotGig1.eng.mtf","Han är verkligen bra, DJ:en","He's real good, the DJ","DJ 他真的很棒"
"English\Pixie_ClubDotGig1.eng.mtf","Ja, Frank alltså...","Yes, Frank...","是的，弗兰克那么……"
"English\Pixie_ClubDotGig1.eng.mtf","Känner du honom?!","You know him?!","你认识他吗？！"
"English\Pixie_ClubDotGig1.eng.mtf","Eh...","Eh...","呃..."
"English\Pixie_ClubDotGig1.eng.mtf","Ja, typ","Yes, sort of","是的，有点"
"English\Pixie_ClubDotGig1.eng.mtf","Wow","Wow","哇"
"English\Pixie_ClubDotGig1.eng.mtf","Coolt!","Cool!","凉爽的！"
"English\Pixie_ClubDotGig1.eng.mtf","På vilket sätt?","How do you know him?","如何？"
"English\Pixie_ClubDotGig1.eng.mtf","Äsch, jag vet inte","Er, I wouldn't say that","呃，我不知道"
"English\Pixie_ClubDotGig1.eng.mtf","Mm","Mhm","ETC"
"English\Pixie_ClubDotGig1.eng.mtf","Jag önskar att jag kunde vara lika grym","I wish I was as awesome as he is","我希望我也能如此残忍"
"English\Pixie_ClubDotGig1.eng.mtf","Hehe","Heh","呵呵"
"English\Pixie_CrazyParty.eng.mtf","Kom med till Petra!","Come along to Petra's!","快来佩特拉吧！"
"English\Pixie_CrazyParty.eng.mtf","Vad är det Sebbe?","What is it Seb?","塞贝是什么？"
"English\Pixie_CrazyParty.eng.mtf","Jag tror att jag måste gå hem","I think I have to go home","我想我得回家了"
"English\Pixie_CrazyParty.eng.mtf","Redan?","Already?","已经？"
"English\Pixie_CrazyParty.eng.mtf","Jag mår inte bra","I'm not feeling too well","我不舒服"
"English\Pixie_CrazyParty.eng.mtf","OK, vad tråkigt","OK, that's a bummer","好吧，多么无聊"
"English\Pixie_CrazyParty.eng.mtf","Du är inte ledsen va?","You're not upset or anything?","你不后悔，是吗？"
"English\Pixie_CrazyParty.eng.mtf","Nej, nej...","No, no...","不，不..."
"English\Pixie_CrazyParty.eng.mtf","Nää","Nooo","不"
"English\Pixie_CrazyParty.eng.mtf","Absolut inte!","Absolutely not!","绝对不！"
"English\Pixie_CrazyParty.eng.mtf","Bara lite trött","Just a little tired","只是有点累"
"English\Pixie_CrazyParty.eng.mtf","OK, vi ses imorgon på Lodgen hoppas jag?!","OK, see you at the Lodge tomorrow I hope?!","好的，希望明天在旅馆见？！"
"English\Pixie_CrazyParty.eng.mtf","Självklart","Of course","明显的"
"English\Pixie_CrazyParty.eng.mtf","Japp!","Yup!","是的！"
"English\Pixie_CrazyParty.eng.mtf","Tror det...","Think so...","也这样觉得..."
"English\Pixie_CrazyParty.eng.mtf","OK, sov gott!","OK, sleep tight","好啦睡个好觉吧！"
"English\Pixie_CrazyParty.eng.mtf","Ja, hej då!","Yeah, bye!","是的，再见！"
"English\Pixie_CrazyParty.eng.mtf","Hej då","Bye!","再见"
"English\Pixie_CrazyParty.eng.mtf","Kul att du kom Sebastian!","I'm happy you showed up Sebastian!","很高兴你来塞巴斯蒂安！"
"English\Pixie_CrazyParty.eng.mtf","Vågar jag ta Felix knark?","Dare I try Felix' drugs?","我敢吃菲利克斯的药吗？"
"English\Pixie_CrazyParty.eng.mtf","Ja ja, hur farligt kan det vara?","Sure, I mean how dangerous could it be, really?","是的，是的，这有多危险？"
"English\Pixie_CrazyParty.eng.mtf","Fast i och för sig...","But on the other hand...","但就其本身而言..."
"English\Pixie_CrazyParty.eng.mtf","Alltså, jag vet inte","Look, I don't know","所以，我不知道"
"English\Pixie_CrazyParty.eng.mtf","Gör som du känner själv!","Do whatever you feel like!","按照你的感觉做！"
"English\Pixie_CrazyParty.eng.mtf","Trevlig fest","Nice party","很棒的聚会"
"English\Pixie_CrazyParty.eng.mtf","Ja, visst är det!","Yes, isn't it?","是的，当然是！"
"English\Pixie_CurseIsOver.eng.mtf","Sebastian!","Sebastian!","塞巴斯蒂安！"
"English\Pixie_CurseIsOver.eng.mtf","Ivan är tillbaka!!!!!","Ivan is back!!!!!","伊凡回来了！！！！"
"English\Pixie_CurseIsOver.eng.mtf","Ja jag vet","Yeah, I know","是的，我知道"
"English\Pixie_CurseIsOver.eng.mtf","Jaha...","Oh...","是的..."
"English\Pixie_CurseIsOver.eng.mtf","Hur känns det?","How are you feeling?","感觉如何？"
"English\Pixie_CurseIsOver.eng.mtf","Vad bra","Good","多好"
"English\Pixie_CurseIsOver.eng.mtf","Jag är så lycklig","I'm so happy","我太高兴了"
"English\Pixie_CurseIsOver.eng.mtf","Han är väldigt tyst bara...","He's just being very quiet, it's...","他很安静，只是……"
"English\Pixie_CurseIsOver.eng.mtf","Sebastian!!!","Sebastian!!!","塞巴斯蒂安！！！"
"English\Pixie_CurseIsOver.eng.mtf","Du är i fara, ministeriet var på cafeet och letade efter dig","You're in danger, some ministry suits were looking for you at the café","你有危险，魔法部正在咖啡馆找你"
"English\Pixie_CurseIsOver.eng.mtf","De såg jävligt bistra ut","They looked super mad and upset","他们看起来极其严峻"
"English\Pixie_CurseIsOver.eng.mtf","Jag sprang iväg medan de förhörde Kafka","I ran away while they were interrogating Kafka","当他们审问卡夫卡时我逃跑了"
